#SECTIONS,DULL,H23/PC‐RAL,"SAHRA/BRN",BLACK/MULTI,WOODCOAT
D10 (1.2mm),406,408,437,457,510,
D46 (1.2mm),677,679,727,760,849
D10 (1.6mm),509,511,547,572,639
D46 (1.6mm),855,857,917,960,1071
D10 (2mm),628,630,674,706,788
D46 (2mm),1049,1051,1125,1177,1314
D10A (1.6mm),573,575,615,644,719
D48 (2mm),930,932,997,1044,1165
D10A (2mm),705,707,756,792,884
D48 (3.2mm),1298,1300,1391,1456,1625
D11 (1.2mm),181,182,195,204,228
D48A (1.2mm),454,456,488,511,570
D14 (1.2mm),277,279,299,312,349
D48A (1.4mm),518,520,556,582,650
D15 (1.2mm),177,179,192,200,224
D48A (1.6mm),578,580,621,650,725
D16 (1.2mm),466,468,501,524,585
D48A (2mm),725,727,778,814,909
D16 (1.6mm),538,540,578,605,675
D48B (1.6mm),394,396,424,444,495
D16 (2mm),659,661,707,740,826
D48B (2mm),473,475,508,532,594
D18 (1.2mm),495,497,532,557,621
D50 (1.2mm),434,436,467,488,545
D18 (1.6mm),642,644,689,721,805
D50 (1.6mm),556,558,597,625,698
D18 (2mm),803,805,861,902,1006
D50 (2mm),669,671,718,752,839
D20 (2mm),520,522,559,585,653
D50A (1.2mm),385,387,414,433,484
D29 (1.2mm),215,216,231,242,270
D29D (1.2mm),215,216,231,242,270
EM29 (1.2mm),215,216,231,242,270
D50A (1.6mm),459,461,493,516,576
D29A (1.2mm),260,261,279,292,326
D50A (2mm),558,560,599,627,700
D29B (1.2mm),133,134,143,150,168
D50B (1.2mm),542,544,582,609,680
D29F (1.2mm),98,99,106,111,124
D50B (1.6mm),698,700,749,784,875
D31 (1.2mm),149,150,161,168,188
D50B (2mm),860,862,922,965,1078
D31 (1.6mm),192,193,207,216,241
D51A (1.2mm),355,357,382,400,446
D31A (1.2mm),199,200,214,224,250
D51A (1.6mm),439,441,472,494,551
D32 (1.2mm),83,84,90,94,105
D51A (2mm),529,531,568,595,664
D32A (1.2mm),147,148,158,166,185
D51C (1.2mm),646,648,693,726,810
D32B (1.2mm),154,155,166,174,194
D51C (1.6mm),819,821,878,920,1026
D32C (1.2mm),180,181,194,203,226
D51C (2mm),1001,1003,1073,1123,1254
D33 (1.2mm),455,457,489,512,571
D51F (1.2mm),416,418,447,468,523
D51H (1.2mm),416,418,447,468,523
D33 (1.6mm),605,607,649,680,759
D51F (1.6mm),522,524,561,587,655
D51H (1.6mm),522,524,561,587,655
D33 (2mm),738,740,792,829,925
D51F (2mm),632,634,678,710,793
D51H (2mm),632,634,678,710,793
D35 (1.2mm),388,390,417,437,488
D52 (1.2mm),340,342,366,383,428
D35 (1.6mm),497,499,534,559,624
D52 (1.6mm),405,407,435,456,509
D35 (2mm),601,603,645,675,754
D52 (2mm),488,490,524,549,613
D38 (2mm),629,631,675,707,789
D54A (1.2mm),311,313,335,351,391
D38B (1.6mm),367,369,395,413,461
D54A (1.6mm),380,382,409,428,478
D38B (2mm),455,457,489,512,571
D54A (2mm),455,457,489,512,571
D38F (1.6mm),432,434,464,486,543
D54C (1.2mm),548,550,589,616,688
D38F (2mm),531,533,570,597,666
D54F (1.2mm),382,384,411,430,480
D54H (1.2mm),382,384,411,430,480
D40 (1.2mm),376,378,404,423,473
D54F (1.6mm),457,459,491,514,574
D54H (1.6mm),457,459,491,514,574
D40 (1.6mm),426,428,458,479,535
D54F (2mm),551,553,592,619,691
D54H (2mm),551,553,592,619,691
D40 (2mm),524,526,563,589,658
D57 (3mm),597,599,641,671,749
D41 (1.2mm),143,144,154,161,180
D57 (4mm),736,738,790,827,923
D41B (1.2mm),115,116,124,130,145
D58 (3mm),399,401,429,449,501
D41C (1.2mm),105,106,113,119,133
D58 (4mm),448,450,482,504,563
D42 (1.2mm),250,252,270,282,315
D59 (1.2mm),422,424,454,475,530
D42 (1.6mm),302,304,325,340,380
D59 (1.6mm),493,495,530,554,619
D42 (2mm),349,351,376,393,439
D59 (2mm),587,589,630,660,736
D42A (1.2mm),289,291,311,326,364
D59A (1.2mm),431,433,463,485,541
D42F (1.2mm),320,322,345,361,403,
D42H (1.2mm),320,322,345,361,403,
D59A (1.6mm),531,533,570,597,666
D42F (1.6mm),378,380,407,426,475
D42H (1.6mm),378,380,407,426,475
D59A (2mm),646,648,693,726,810
D42F (2mm),450,452,484,506,565
D42H (2mm),450,452,484,506,565
D60 (1.2mm),248,250,268,280,313
D44 (1.2mm),311,313,335,351,391
D61 (1.2mm),404,406,434,455,508
D44A (1.2mm),382,384,411,430,480
D61H (1.6mm),324,326,349,365,408
D44A (1.6mm),494,496,531,556,620
D61S (1.2mm),309,311,333,348,389
D44A (2mm),517,519,555,581,649
D45 (1.2mm),382,384,411,430,480
E10 (1.2mm),320,322,345,361,403
D45 (1.6mm),495,497,532,557,621
E11 (1.2mm),128,129,138,144,161
D45 (2mm),624,626,670,701,783
E14 (1.2mm),230,232,248,260,290
D45A (1.2mm),337,339,363,380,424
E15 (1.2mm),143,144,154,161,180
D45A (1.6mm),426,428,458,479,535
E16 (1.2mm),345,347,371,389,434
D45A (2mm),513,515,551,577,644
E18 (1.2mm),435,437,468,489,546
D45F (1.2mm),421,423,453,474,529
E10 (1.6mm),448,450,482,504,563
D45B (1.2mm),358,360,385,403,450
E16 (1.6mm),439,441,472,494,551
D45B (1.6mm),466,468,501,524,585
E18 (1.6mm),549,551,590,617,689
D45B (2mm),561,563,602,631,704
E10 (2mm),509,511,547,572,639
D45C (1.2mm),571,573,613,642,716
E16 (2mm),538,540,578,605,675
D45C (1.6mm),777,779,834,872,974
E18 (2mm),671,673,720,754,841
D45C (2mm),930,932,997,1044,1165
E20 (3mm),304,306,327,343,383
D45S (1.2mm),427,429,459,480,536
D45S (1.6mm),552,554,593,620,693
D45S (2mm),695,697,746,781,871
GSL-1-DG26 (1.2mm),682,684,732,766,855
DC26 (1.2mm),611,613,656,687,766
GSL-1-DG26 (1.6mm),882,884,946,990,1105
DC30 (1.2mm),538,540,578,605,675
GSL-1-DG26 (2mm),1064,1066,1141,1194,1333
DC26E (1.2mm),628,630,674,706,788
GSL-1-F-DG26F (1.6mm),970,972,1040,1089,1215
DC30E (1.2mm),538,540,578,605,675
GSL-1-F-DG26F (2mm),1168,1170,1252,1310,1463
DC26A (1.2mm),664,666,713,746,833
GSL-01T (1.6mm),882,884,946,990,1105
DC30A (1.2mm),574,576,616,645,720
GSL-01T (2mm),1056,1058,1132,1185,1323
DC26B (1.2mm),570,572,612,641,715
GSL-2-DG23A (1.2mm),448,450,482,504,563
DC30B (1.2mm),484,486,520,544,608
GSL-2-DG23A (1.6mm),543,545,583,610,681
DC26BA (1.2mm),610,612,655,685,765
DC26BC (1.2mm),610,612,655,685,765
GSL-2-DG23A (2mm),646,648,693,726,810
DC30BA (1.2mm),529,531,568,595,664
DC30BC (1.2mm),529,531,568,595,664
GSL-3-DG23 (1.2mm),403,405,433,454,506
DC26F (1.2mm),692,694,743,777,868
DC26H (1.2mm),692,694,743,777,868
GSL-3-DG23 (1.6mm),502,504,539,564,630
DC30F (1.2mm),593,595,637,666,744
DC30H (1.2mm),593,595,637,666,744
GSL-3-DG23 (2mm),597,599,641,671,749
DC26JC (1.2mm),686,688,736,771,860
GSL-4-DG28 (1.2mm),173,175,187,196,219
DC30JC (1.2mm),592,594,636,665,743
GSL-5-DG29 (1.2mm),276,277,296,310,346
DC26BH  (1.2mm),612,614,657,688,768
GSL-5-DG29 (1.6mm),318,320,342,358,400
DC30BH (1.2mm),536,538,576,603,673
#(41x18) DG-31
DG-31 (1.2mm) ,246,248,265,278,310 
DC26BH (1.2mm),606,608,651,681,760
GSPR 1 (1.6mm),1013,1015,1086,1137,1269
DC30BH (1.2mm),531,533,570,597,666
GSPR 1 (2mm),1229,1231,1317,1379,1539
M23 (1.2mm),277,279,299,312,349
DG-3 (1.2mm),107,108,116,121,135
M28 (1.2mm),338,340,364,381,425
#(DG59)
HD-1 (1.6mm),646,648,693,726,810
M24 (1.2mm),329,331,354,371,414
#(DG59)
HD-1 (2mm),783,785,840,879,981
M24A (1.2mm),291,293,314,328,366
#(DG59)
HD-2 (1.6mm),646,648,693,726,810
M24F (1.2mm),214,216,231,242,270
#(DG50)
HD-2 (2mm),783,785,840,879,981
M23A (1.2mm),286,288,308,323,360
#(DG51D)
HD-3 (1.6mm),1002,1004,1074,1124,1255
M23H (1.2mm),304,306,327,343,383
#(DG51D)
HD-3 (2mm),1159,1161,1242,1300,1451
M28A (1.2mm),344,346,370,388,433
#(DG51A)
HD-4 (1.6mm),578,580,621,650,725
M23B (1.2mm),254,256,274,287,320
#(DG51A)
HD-4 (2mm),696,698,747,782,873
M28B (1.2mm),317,319,341,357,399
#(DG51 Plain)
HD-5 (1.6mm),574,576,616,645,720
M24B (1.2mm),277,279,299,312,349
HD-6 (1.6mm),700,702,751,786,878
AA23 (1.2mm),419,421,450,472,526
HD-7 (1.2mm),197,198,212,222,248
DG41E (1.2mm),197,198,212,222,248
AA23-S (1.2mm),412,414,443,464,518
#(DG41)
HD-8 (1.2mm),143,144,154,161,180
AA28 (1.2mm),482,484,518,542,605
HD-9 (1.6mm),124,126,135,141,158
M26 (1.2mm),457,459,491,514,574
HD-10 (DG58) (3.5mm),493,495,530,554,619
M30 (1.2mm),409,411,440,460,514
HD-11 (DG57) (3.5mm),714,716,766,802,895
M26F (1.2mm),534,536,574,600,670
#(Plate) 
HD-12 (1.6mm),394,396,424,444,495
M30F (1.2mm),481,483,517,541,604
DG-46 (1.2mm),536,538,576,603,673
#SLIDING WINDOWS SECTIONS (1.6mm),,,,,
DG-46 (1.6mm),694,696,745,780,870
DC26E (1.6mm),795,797,853,893,996
DG-46 (2mm),873,875,936,980,1094
DC30E (1.6mm),684,686,734,768,858
#SLIDING WINDOWS SECTIONS (2mm),,,,,,
DC26A (1.6mm),819,821,878,920,1026
DC26E (2mm),943,945,1011,1058,1181
DC30A (1.6mm),709,711,761,796,889
DC30E (2mm),812,814,871,912,1018
DC26B (1.6mm),709,711,761,796,889
DC26A (2mm),1002,1004,1074,1124,1255
DC30B (1.6mm),597,599,641,671,749
DC30A (2mm),904,906,969,1015,1133
DC26BA (1.6mm),752,754,807,844,943
DC26BC (1.6mm),752,754,807,844,943
DC26B (2mm),840,842,901,943,1053
DC30BA (1.6mm),642,644,689,721,805
DC30BC (1.6mm),642,644,689,721,805
DC30B (2mm),709,711,761,796,889
DC26F (1.6mm),826,828,886,927,1035
DC26H (1.6mm),826,828,886,927,1035
DC26BA (2mm),898,900,963,1008,1125
DC26BC (2mm),898,900,963,1008,1125
DC30F (1.6mm),716,718,768,804,898
DC30H (1.6mm),716,718,768,804,898
DC30BA (2mm),759,761,814,852,951
DC30BC (2mm),759,761,814,852,951
DC26JC (1.6mm),858,860,920,963,1075
DC26F (2mm),979,981,1050,1099,1226
DC26H (2mm),979,981,1050,1099,1226
DC30JC (1.6mm),759,761,814,852,951
DC30F (2mm),840,842,901,943,1053
DC30H (2mm),840,842,901,943,1053
M23 (1.6mm),349,351,376,393,439
DC26JC (2mm),1002,1004,1074,1124,1255
M28 (1.6mm),419,421,450,472,526
DC30JC (2mm),867,869,930,973,1086
M24 (1.6mm),389,391,418,438,489
M23 (2mm),426,428,458,479,535
M24A (1.6mm),371,373,399,418,466
M28 (2mm),507,509,545,570,636
M23A (1.6mm),378,380,407,426,475
M24 (2mm),475,477,510,534,596
M28A (1.6mm),434,436,467,488,545
M24A (2mm),448,450,482,504,563
M23B (1.6mm),331,333,356,373,416
M23A (2mm),464,466,499,522,583
M28B (1.6mm),399,401,429,449,501
M28A (2mm),506,508,544,569,635
M24B (1.6mm),351,353,378,395,441
M23B (2mm),403,405,433,454,506
AA23 (1.6mm),549,551,590,617,689
M28B (2mm),477,479,513,536,599
AA23-S (1.6mm),538,540,578,605,675
M24B (2mm),425,427,457,478,534
AA28 (1.6mm),603,605,647,678,756
AA23 (2mm),678,680,728,762,850
M26 (1.6mm),558,560,599,627,700
AA23-S (2mm),669,671,718,752,839
M30 (1.6mm),479,481,515,539,601
AA28 (2mm),741,743,795,832,929
M26F (1.6mm),637,639,684,716,799
M26 (2mm),657,659,705,738,824
M30F (1.6mm),560,562,601,629,703
M30 (2mm),563,565,605,633,706
M26F (2mm),750,752,805,842,940
M30F (2mm),657,659,705,738,824
#(80H/94.5*64W)
CW-1 (2mm),1029,1031,1103,1155,1289
Pipe1*1 (1.2mm),177,179,192,200,224
#(80H/94.5*38W)
CW-1-S (2mm),844,846,905,948,1058
Pipe1*2 (1.2mm),275,277,296,310,346
#(60*18.5)
CW-2 (2mm),362,364,389,408,455
Pipe2*2 (1.2mm),369,371,397,416,464
#(64*25.25)
